epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,113.539,2.59426,4.95621,2.25466,0.85858,0.62374,0.69623,0.27435,2.27992,1.43539,1.76547,0.00332977,0.00332977,0.00332977
2,206.392,1.56947,1.00551,1.26033,0.88004,0.62374,0.71841,0.29133,2.18798,1.30015,1.63681,0.00659714,0.00659714,0.00659714
3,298.518,1.46338,0.79462,1.19594,0.87073,0.66352,0.72019,0.28044,2.16281,1.6965,1.61014,0.00979851,0.00979851,0.00979851
4,388.193,1.3806,0.69287,1.15368,0.88235,0.71303,0.78802,0.33927,2.05594,1.20893,1.554,0.009703,0.009703,0.009703
5,477.355,1.32364,0.64554,1.12537,0.87194,0.63359,0.72628,0.32032,2.06303,1.36784,1.5366,0.009604,0.009604,0.009604
6,567.603,1.2976,0.61071,1.11857,0.89118,0.6298,0.74542,0.32194,2.09727,1.33608,1.52168,0.009505,0.009505,0.009505
7,658.221,1.26541,0.58758,1.10565,0.9249,0.69656,0.80878,0.35142,1.96118,1.04898,1.48638,0.009406,0.009406,0.009406
8,748.211,1.24476,0.57589,1.09018,0.92368,0.6774,0.81189,0.39384,1.87128,1.1843,1.45117,0.009307,0.009307,0.009307
9,841.521,1.23443,0.56393,1.08901,0.89186,0.73968,0.82264,0.37465,1.97079,1.03691,1.49113,0.009208,0.009208,0.009208
10,935.113,1.2214,0.55596,1.08276,0.87462,0.65678,0.76036,0.35078,1.92761,1.1301,1.46604,0.009109,0.009109,0.009109
11,1031.4,1.21515,0.54751,1.0809,0.88546,0.74241,0.81757,0.3756,1.94422,1.02899,1.46482,0.00901,0.00901,0.00901
12,1124.59,1.20135,0.54006,1.07642,0.89755,0.66166,0.78884,0.35704,1.95838,1.21586,1.49508,0.008911,0.008911,0.008911
13,1258.65,1.19684,0.53366,1.07396,0.85501,0.73564,0.80644,0.37201,1.91467,1.0452,1.46231,0.008812,0.008812,0.008812
14,1353.83,1.18497,0.52638,1.06822,0.90444,0.68288,0.80146,0.39745,1.84522,1.33161,1.43395,0.008713,0.008713,0.008713
15,1449.27,1.17506,0.52442,1.068,0.91865,0.75388,0.83268,0.40612,1.85499,1.05503,1.41747,0.008614,0.008614,0.008614
16,1546.16,1.17136,0.51849,1.06523,0.91989,0.70398,0.8251,0.42157,1.85341,1.23668,1.42634,0.008515,0.008515,0.008515
17,1641.92,1.17164,0.51752,1.06631,0.90877,0.73885,0.83663,0.40702,1.89656,1.1359,1.43625,0.008416,0.008416,0.008416
18,1736.6,1.16048,0.50734,1.06243,0.89149,0.69656,0.81467,0.38801,1.89133,1.12841,1.44352,0.008317,0.008317,0.008317
19,1828.13,1.16477,0.50571,1.06315,0.91437,0.67685,0.78762,0.38053,1.89452,1.18406,1.4554,0.008218,0.008218,0.008218
20,1921.33,1.15671,0.49991,1.05756,0.86812,0.74376,0.82725,0.40611,1.89371,1.11075,1.43815,0.008119,0.008119,0.008119
21,2012.85,1.15075,0.49883,1.05724,0.90466,0.7296,0.82657,0.39883,1.9131,1.05878,1.44497,0.00802,0.00802,0.00802
22,2108.64,1.14458,0.49393,1.05302,0.87963,0.74174,0.82753,0.39847,1.90437,1.08873,1.44918,0.007921,0.007921,0.007921
23,2202.13,1.13767,0.49053,1.05156,0.86835,0.76332,0.81046,0.37997,1.8735,1.01936,1.43217,0.007822,0.007822,0.007822
24,2295.14,1.13321,0.48495,1.04799,0.90123,0.72623,0.82287,0.4054,1.88436,1.13798,1.42888,0.007723,0.007723,0.007723
25,2386.24,1.13301,0.48349,1.047,0.88,0.76871,0.83993,0.40512,1.871,0.99868,1.43061,0.007624,0.007624,0.007624
26,2477.02,1.13255,0.48263,1.04953,0.87531,0.75262,0.82834,0.41048,1.85452,1.11772,1.42772,0.007525,0.007525,0.007525
