epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,969.652,1.35548,0.58632,1.0758,0.97336,0.92624,0.9615,0.54562,1.65632,0.70104,1.30582,0.00333262,0.00333262,0.00333262
2,1909.17,1.31532,0.55387,1.05673,0.9476,0.93141,0.96479,0.55485,1.61513,0.66664,1.28981,0.00659996,0.00659996,0.00659996
3,2855.52,1.32431,0.56741,1.06142,0.97166,0.94386,0.96672,0.54637,1.65618,0.6335,1.3199,0.0098013,0.0098013,0.0098013
4,3808.36,1.32233,0.57223,1.05985,0.96449,0.93562,0.96141,0.54194,1.6638,0.67386,1.32458,0.009703,0.009703,0.009703
5,4745.21,1.30665,0.55762,1.0542,0.95443,0.93949,0.96726,0.54221,1.67801,0.65548,1.31913,0.009604,0.009604,0.009604
6,5681.24,1.29438,0.54715,1.05031,0.96117,0.93599,0.95993,0.53795,1.6805,0.64786,1.32992,0.009505,0.009505,0.009505
7,6646.86,1.28331,0.53713,1.04574,0.96924,0.93896,0.9632,0.54827,1.66472,0.63278,1.32176,0.009406,0.009406,0.009406
8,7595.77,1.27497,0.53189,1.0426,0.96676,0.93885,0.96357,0.54532,1.67443,0.63218,1.33013,0.009307,0.009307,0.009307
9,8518.08,1.2681,0.52576,1.03982,0.96632,0.93821,0.96574,0.54832,1.66062,0.62559,1.32192,0.009208,0.009208,0.009208
10,9480.49,1.26068,0.52078,1.03829,0.96378,0.94253,0.96766,0.54949,1.6576,0.62269,1.31649,0.009109,0.009109,0.009109
11,10428.5,1.25415,0.51661,1.03646,0.96516,0.94248,0.9682,0.55081,1.65585,0.61751,1.3138,0.00901,0.00901,0.00901
12,11465.8,1.2458,0.51115,1.03297,0.96698,0.94329,0.9694,0.55032,1.65868,0.61334,1.31409,0.008911,0.008911,0.008911
13,12427.9,1.24224,0.50892,1.03181,0.96721,0.94288,0.96869,0.54974,1.66212,0.61296,1.31614,0.008812,0.008812,0.008812
14,13381.5,1.23898,0.50469,1.03121,0.9675,0.94342,0.96928,0.55008,1.6618,0.61015,1.31566,0.008713,0.008713,0.008713
15,14341,1.23376,0.5012,1.02883,0.9681,0.94421,0.96989,0.55021,1.66129,0.60826,1.31519,0.008614,0.008614,0.008614
16,15280.6,1.22739,0.49759,1.02658,0.96874,0.9449,0.9699,0.55073,1.65928,0.60668,1.3146,0.008515,0.008515,0.008515
17,16230.8,1.22579,0.4969,1.02563,0.9686,0.94502,0.96981,0.55175,1.65622,0.60411,1.31315,0.008416,0.008416,0.008416
18,17183.1,1.22059,0.49332,1.02511,0.96923,0.94524,0.97002,0.5524,1.65416,0.60197,1.31208,0.008317,0.008317,0.008317
19,18156.7,1.21872,0.49252,1.02364,0.96931,0.94554,0.9705,0.5538,1.65193,0.5996,1.31103,0.008218,0.008218,0.008218
20,19776.2,1.21344,0.48875,1.02279,0.96953,0.9454,0.97072,0.55411,1.65113,0.59797,1.31051,0.008119,0.008119,0.008119
21,20796.7,1.21184,0.48776,1.02138,0.96897,0.94614,0.97069,0.55469,1.64949,0.59666,1.30955,0.00802,0.00802,0.00802
22,21749.6,1.20692,0.48517,1.02091,0.96855,0.94617,0.97072,0.55545,1.64637,0.59451,1.30811,0.007921,0.007921,0.007921
23,22713.1,1.20433,0.48298,1.02062,0.96883,0.94639,0.9708,0.5558,1.64478,0.59235,1.30758,0.007822,0.007822,0.007822
24,23652.4,1.20459,0.48365,1.01893,0.96795,0.9462,0.97076,0.55633,1.64399,0.59088,1.30753,0.007723,0.007723,0.007723
25,24611.7,1.19662,0.47951,1.01714,0.96724,0.94569,0.97043,0.55599,1.64524,0.59096,1.30884,0.007624,0.007624,0.007624
26,25606.2,1.19756,0.47951,1.0178,0.96728,0.94554,0.97047,0.55572,1.64336,0.5896,1.30799,0.007525,0.007525,0.007525
27,26573.4,1.19265,0.47661,1.01628,0.96769,0.94577,0.9705,0.55538,1.64274,0.58812,1.30848,0.007426,0.007426,0.007426
28,27551.5,1.1876,0.47446,1.01318,0.96775,0.94635,0.97073,0.55528,1.64199,0.58669,1.30817,0.007327,0.007327,0.007327
29,28564.8,1.18901,0.47268,1.01344,0.96761,0.94748,0.97105,0.55514,1.64166,0.58531,1.30808,0.007228,0.007228,0.007228
30,29531.6,1.18289,0.47112,1.01227,0.9674,0.94795,0.97126,0.55495,1.64053,0.58458,1.30778,0.007129,0.007129,0.007129
31,30479.4,1.18125,0.47139,1.01185,0.96787,0.94853,0.97139,0.55503,1.64009,0.583,1.30771,0.00703,0.00703,0.00703
32,31431.6,1.17964,0.46993,1.0106,0.96843,0.94975,0.97138,0.55521,1.639,0.58109,1.30701,0.006931,0.006931,0.006931
33,32376.2,1.17193,0.46705,1.00771,0.96804,0.95068,0.97136,0.55486,1.64055,0.58045,1.30768,0.006832,0.006832,0.006832
34,33352.9,1.17146,0.46743,1.01092,0.96721,0.95183,0.97142,0.5549,1.64054,0.57969,1.30768,0.006733,0.006733,0.006733
35,34334.9,1.16741,0.46405,1.00784,0.96658,0.95175,0.97073,0.55406,1.64276,0.57984,1.30969,0.006634,0.006634,0.006634
36,35315.3,1.1659,0.46264,1.00835,0.96609,0.95252,0.97079,0.55426,1.64247,0.5787,1.31034,0.006535,0.006535,0.006535
