epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1253.19,1.34252,0.59823,0.98933,0.92983,0.92047,0.95527,0.58836,1.57363,0.83755,1.15638,0.00333262,0.00333262,0.00333262
2,2481.62,1.21233,0.51522,0.94917,0.92416,0.89798,0.94032,0.56663,1.61501,1.08936,1.20401,0.00659996,0.00659996,0.00659996
3,3721.29,1.21733,0.52088,0.94984,0.93587,0.91162,0.95114,0.59042,1.57593,0.94843,1.18265,0.0098013,0.0098013,0.0098013
4,4946.51,1.21699,0.5283,0.95003,0.94103,0.91634,0.95508,0.57661,1.58034,1.01344,1.18722,0.009703,0.009703,0.009703
5,6198.36,1.1994,0.51492,0.94586,0.94263,0.92547,0.95807,0.58006,1.59141,1.08182,1.20942,0.009604,0.009604,0.009604
6,7457.9,1.18456,0.50464,0.94251,0.95047,0.92047,0.95775,0.58387,1.57464,0.9937,1.19763,0.009505,0.009505,0.009505
7,8680.56,1.17983,0.50022,0.94165,0.94658,0.92938,0.96097,0.58758,1.5793,0.98003,1.20446,0.009406,0.009406,0.009406
8,9924.79,1.1673,0.49265,0.9389,0.94994,0.92954,0.96026,0.58693,1.56931,1.01382,1.19231,0.009307,0.009307,0.009307
9,11243.9,1.16532,0.49064,0.93833,0.94474,0.92758,0.95991,0.5882,1.56977,1.04922,1.19447,0.009208,0.009208,0.009208
10,12506.4,1.15875,0.48679,0.93576,0.94679,0.9296,0.95994,0.5884,1.57308,1.0771,1.19962,0.009109,0.009109,0.009109
11,13749.8,1.1524,0.48329,0.93481,0.95115,0.93148,0.96125,0.58899,1.56915,1.06751,1.20124,0.00901,0.00901,0.00901
12,14984.3,1.1503,0.47999,0.93503,0.95103,0.9316,0.96053,0.58799,1.56891,1.0637,1.20273,0.008911,0.008911,0.008911
13,16214,1.14384,0.47705,0.93135,0.95007,0.93071,0.9602,0.58865,1.57074,1.07589,1.20395,0.008812,0.008812,0.008812
14,17448.6,1.14315,0.47691,0.93215,0.95006,0.93168,0.96042,0.58935,1.57044,1.07246,1.20244,0.008713,0.008713,0.008713
15,19240.4,1.13824,0.47312,0.93096,0.95011,0.93234,0.96051,0.58977,1.56856,1.07953,1.20208,0.008614,0.008614,0.008614
16,20669.3,1.13522,0.47144,0.93097,0.94979,0.93209,0.96026,0.59029,1.56653,1.08169,1.20083,0.008515,0.008515,0.008515
17,21916.7,1.12896,0.46934,0.92816,0.94927,0.93129,0.95983,0.59047,1.56767,1.0754,1.2022,0.008416,0.008416,0.008416
18,23155.6,1.12908,0.46729,0.92922,0.94911,0.93111,0.9596,0.58987,1.57024,1.08198,1.20477,0.008317,0.008317,0.008317
19,24403,1.12449,0.46433,0.92787,0.94854,0.93213,0.95939,0.59006,1.57125,1.09396,1.20591,0.008218,0.008218,0.008218
20,25696.4,1.12508,0.46317,0.92876,0.94859,0.93232,0.95915,0.59026,1.57259,1.09751,1.20705,0.008119,0.008119,0.008119
21,26950.6,1.1212,0.46279,0.92777,0.94821,0.93258,0.95901,0.59015,1.57361,1.10494,1.2085,0.00802,0.00802,0.00802
22,28251.8,1.12012,0.46098,0.92742,0.94887,0.93237,0.95901,0.59101,1.57262,1.10342,1.20845,0.007921,0.007921,0.007921
23,29555.4,1.12029,0.46249,0.92709,0.94932,0.93218,0.95895,0.59166,1.57118,1.10953,1.20624,0.007822,0.007822,0.007822
24,30797.8,1.11756,0.45779,0.92657,0.94915,0.93172,0.95895,0.59236,1.57079,1.10477,1.20526,0.007723,0.007723,0.007723
25,32042.7,1.11269,0.45798,0.92472,0.9489,0.9317,0.95899,0.59189,1.5723,1.10001,1.20537,0.007624,0.007624,0.007624
26,33319.8,1.11151,0.45734,0.92545,0.94924,0.93171,0.95903,0.59324,1.56905,1.08795,1.20361,0.007525,0.007525,0.007525
27,34612.7,1.10869,0.45554,0.92464,0.94913,0.93195,0.95915,0.59474,1.56556,1.07901,1.20212,0.007426,0.007426,0.007426
28,35870.2,1.10725,0.45473,0.92367,0.9491,0.93226,0.95946,0.5961,1.56339,1.07542,1.20148,0.007327,0.007327,0.007327
29,37153.6,1.10622,0.45331,0.92337,0.94925,0.93201,0.95936,0.59641,1.56389,1.06839,1.20203,0.007228,0.007228,0.007228
30,38411,1.10542,0.45324,0.92351,0.94999,0.93139,0.95942,0.59607,1.56571,1.06963,1.20415,0.007129,0.007129,0.007129
31,39670.5,1.10187,0.452,0.92207,0.95005,0.93137,0.95931,0.59608,1.56687,1.06238,1.20479,0.00703,0.00703,0.00703
32,40956.5,1.09657,0.44887,0.91951,0.9499,0.93089,0.95907,0.59575,1.56951,1.06087,1.20761,0.006931,0.006931,0.006931
33,42210.7,1.09412,0.44826,0.91954,0.94898,0.93193,0.95902,0.59581,1.57105,1.05199,1.20865,0.006832,0.006832,0.006832
34,43473.5,1.09446,0.4472,0.92218,0.94873,0.93194,0.95898,0.59545,1.57376,1.04504,1.21144,0.006733,0.006733,0.006733
35,44775.5,1.09124,0.44521,0.92072,0.94837,0.93163,0.95877,0.5949,1.5756,1.03717,1.21381,0.006634,0.006634,0.006634
36,46053.3,1.09127,0.44542,0.91902,0.94727,0.93227,0.95862,0.59435,1.57736,1.03692,1.21518,0.006535,0.006535,0.006535
37,47476.6,1.09234,0.4458,0.91961,0.94672,0.93221,0.95833,0.59386,1.57986,1.03742,1.21697,0.006436,0.006436,0.006436
38,48941.2,1.09107,0.44444,0.9202,0.94695,0.93163,0.95818,0.59419,1.58187,1.03188,1.21782,0.006337,0.006337,0.006337
39,50606.5,1.08805,0.4426,0.9189,0.94596,0.93174,0.95798,0.59328,1.58369,1.03166,1.21886,0.006238,0.006238,0.006238
40,51878.8,1.08289,0.44103,0.9177,0.94636,0.93131,0.95792,0.59258,1.58629,1.02856,1.21996,0.006139,0.006139,0.006139
