epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1855.93,1.05561,0.44526,0.90742,0.95014,0.91556,0.95554,0.56586,1.65324,0.83451,1.28099,0.0700064,0.00333262,0.00333262
2,3739.89,1.05095,0.4354,0.91014,0.94899,0.91772,0.95688,0.57456,1.6142,0.89359,1.22454,0.0399404,0.00659996,0.00659996
3,5645.3,1.07636,0.44418,0.91568,0.94835,0.91171,0.95602,0.56519,1.65446,0.89006,1.23874,0.00980843,0.0098013,0.0098013
4,7501.91,1.10742,0.46057,0.92217,0.95565,0.9122,0.95905,0.57062,1.62407,0.82356,1.23955,0.009703,0.009703,0.009703
5,9323.32,1.10529,0.46103,0.92221,0.94855,0.91126,0.95814,0.57808,1.62702,0.98088,1.23501,0.009604,0.009604,0.009604
6,11151.1,1.10118,0.45727,0.92297,0.94173,0.9117,0.95516,0.57408,1.6249,0.91667,1.24058,0.009505,0.009505,0.009505
7,12968.8,1.09951,0.45638,0.92089,0.9471,0.91355,0.95961,0.58253,1.62428,0.82303,1.23707,0.009406,0.009406,0.009406
8,14786.7,1.09302,0.45359,0.92026,0.95208,0.90543,0.95723,0.57889,1.63394,0.84279,1.24226,0.009307,0.009307,0.009307
9,16596.1,1.09066,0.45196,0.92031,0.94699,0.90722,0.95559,0.57854,1.62533,0.88263,1.24401,0.009208,0.009208,0.009208
10,18413.5,1.08422,0.44844,0.91847,0.93684,0.90547,0.95269,0.57905,1.63329,0.92039,1.24727,0.009109,0.009109,0.009109
11,20220.7,1.08317,0.44801,0.91811,0.93845,0.91182,0.95558,0.57945,1.63948,0.89601,1.24985,0.00901,0.00901,0.00901
12,22040.5,1.07997,0.44652,0.91677,0.93977,0.90918,0.95472,0.57828,1.64448,0.90744,1.2544,0.008911,0.008911,0.008911
13,23859,1.07959,0.44591,0.91679,0.94436,0.90782,0.95558,0.57939,1.64267,0.91439,1.25431,0.008812,0.008812,0.008812
14,25710.8,1.07709,0.4451,0.91508,0.94346,0.90957,0.95573,0.57893,1.64167,0.91193,1.25408,0.008713,0.008713,0.008713
15,27536.9,1.07171,0.44236,0.9149,0.94431,0.90854,0.95518,0.57917,1.64244,0.91628,1.25538,0.008614,0.008614,0.008614
16,29357.9,1.06974,0.44255,0.9145,0.94341,0.90937,0.95543,0.57978,1.64085,0.92525,1.25539,0.008515,0.008515,0.008515
17,31170.6,1.06511,0.4394,0.91436,0.94307,0.91011,0.95539,0.57969,1.64075,0.93033,1.25473,0.008416,0.008416,0.008416
