epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3393.42,2.38956,2.22011,1.85287,0.35812,0.42642,0.22128,0.07583,3.06337,5.07105,1.91752,0.0700321,0.00332977,0.00332977
2,6787.61,1.48131,0.85227,1.16223,0.38925,0.50724,0.28529,0.08953,2.82122,3.93833,1.74039,0.0399221,0.00655316,0.00655316
3,10096.7,1.35683,0.73853,1.09566,0.51114,0.34834,0.30581,0.08158,3.46901,3.64617,2.20065,0.0097022,0.00966655,0.00966655
4,13346.6,1.27808,0.62323,1.0647,0.73318,0.48684,0.5685,0.24091,2.6767,2.63811,1.56693,0.009505,0.009505,0.009505
5,16603.8,1.22204,0.56489,1.04211,0.77825,0.50738,0.5722,0.21981,2.90002,2.47822,1.74642,0.00934,0.00934,0.00934
6,19827.5,1.18038,0.53423,1.02739,0.61924,0.52055,0.53966,0.2013,2.76853,2.82839,1.67669,0.009175,0.009175,0.009175
7,23095.8,1.15809,0.51091,1.02068,0.78192,0.59213,0.65188,0.25689,2.6737,2.09074,1.60401,0.00901,0.00901,0.00901
8,26327.2,1.13855,0.49709,1.01617,0.76876,0.55203,0.63969,0.275,2.54453,2.10356,1.52584,0.008845,0.008845,0.008845
9,29538.7,1.12308,0.48813,1.00871,0.69474,0.53068,0.59584,0.24946,2.71071,2.24981,1.62529,0.00868,0.00868,0.00868
10,32765.9,1.10451,0.47691,1.00341,0.70023,0.51997,0.58283,0.23513,2.82912,2.19721,1.65228,0.008515,0.008515,0.008515
11,35989.3,1.1017,0.4735,1.00455,0.81524,0.57774,0.64608,0.28471,2.67164,2.49072,1.54735,0.00835,0.00835,0.00835
12,39211.8,1.09665,0.46645,0.9957,0.77683,0.56742,0.65643,0.30129,2.66409,2.02132,1.59547,0.008185,0.008185,0.008185
13,42408.2,1.08502,0.46017,0.99897,0.84946,0.5784,0.68003,0.29175,2.69819,2.35481,1.59543,0.00802,0.00802,0.00802
14,45628.6,1.08318,0.45674,0.99863,0.80971,0.55697,0.65232,0.28353,2.69202,2.47147,1.52244,0.007855,0.007855,0.007855
15,48861.6,1.06816,0.44768,0.98986,0.81374,0.5618,0.652,0.29173,2.73557,3.43269,1.58209,0.00769,0.00769,0.00769
16,52096.2,1.07088,0.45062,0.99179,0.77919,0.57469,0.63674,0.2808,2.66258,1.82031,1.57831,0.007525,0.007525,0.007525
17,55317.8,1.05743,0.44478,0.98544,0.7905,0.62799,0.69244,0.27683,2.53205,1.92639,1.54102,0.00736,0.00736,0.00736
18,58549.6,1.0508,0.43676,0.98216,0.80463,0.67149,0.73407,0.3109,2.38708,1.67536,1.44471,0.007195,0.007195,0.007195
19,61733.2,1.048,0.43795,0.98571,0.80753,0.57074,0.68535,0.30549,2.57142,2.21466,1.54222,0.00703,0.00703,0.00703
20,64957,1.04165,0.43449,0.98018,0.75141,0.66293,0.69405,0.28018,2.50996,1.93032,1.51948,0.006865,0.006865,0.006865
21,68181.9,1.03744,0.431,0.98516,0.77494,0.57176,0.64542,0.2929,2.58197,2.11046,1.51184,0.0067,0.0067,0.0067
22,71467.1,1.03415,0.42847,0.97734,0.7949,0.60593,0.67461,0.28618,2.55064,1.89595,1.50967,0.006535,0.006535,0.006535
23,74685.3,1.01699,0.42257,0.97176,0.79858,0.6008,0.68221,0.3056,2.52902,1.94777,1.51794,0.00637,0.00637,0.00637
24,77878.1,1.02022,0.42225,0.97345,0.84884,0.58838,0.70191,0.32524,2.5459,2.3789,1.49841,0.006205,0.006205,0.006205
25,81102.1,1.0108,0.42016,0.97431,0.80415,0.58751,0.68329,0.31109,2.52003,1.93054,1.49455,0.00604,0.00604,0.00604
26,84326,1.00506,0.41375,0.97361,0.80858,0.60656,0.68712,0.30878,2.44042,1.99819,1.45117,0.005875,0.005875,0.005875
27,87547.3,1.00984,0.41532,0.97044,0.81358,0.60091,0.6771,0.30584,2.49684,2.04731,1.47257,0.00571,0.00571,0.00571
28,90782.5,1.00107,0.41271,0.9675,0.75799,0.63088,0.68479,0.30427,2.47184,2.15658,1.47742,0.005545,0.005545,0.005545
29,94001.2,0.98617,0.40872,0.96279,0.7987,0.61704,0.68407,0.30213,2.44217,2.03864,1.46565,0.00538,0.00538,0.00538
30,97227.5,0.9904,0.40706,0.96688,0.79284,0.56171,0.64783,0.29737,2.55195,1.98633,1.50359,0.005215,0.005215,0.005215
31,100462,0.98116,0.40264,0.96367,0.77632,0.64699,0.70177,0.30429,2.45965,1.84718,1.47763,0.00505,0.00505,0.00505
32,103673,0.97205,0.4009,0.96267,0.80661,0.58721,0.6755,0.30252,2.50929,2.03384,1.47308,0.004885,0.004885,0.004885
33,106895,0.97604,0.40254,0.95856,0.78567,0.58364,0.66096,0.30071,2.51562,2.10151,1.49061,0.00472,0.00472,0.00472
34,110113,0.97101,0.39877,0.96236,0.78424,0.64403,0.70913,0.30885,2.4821,1.86125,1.49519,0.004555,0.004555,0.004555
